ZIP,OFFENSE-DESC,OFFENSE-DESC
78226,Driving While Intoxicated,1
78226,Panhandling,1
78226,Robbery Business,1
78227,Drug Arrest,1630
78227,Larceny,440
78227,TABC-Liquor Law Violation,435
78227,Family Violence,398
78227,Obstruction of Justice,369
78227,Trespassing,181
78227,Weapon Violation,163
78227,Panhandling,150
78227,Traffic Violation,103
78227,Assault,94
78227,Vandalism,85
78227,Fraud,76
78227,Aggravated Assault,63
78227,Deadly Conduct,40
78227,Driving While Intoxicated,39
78227,Theft of Vehicle,39
78227,Unauthorized Use of Motor Vehicle,35
78227,Aggravated Family Violence,28
78227,Threats,26
78227,Prostitution,24
78227,Injury to a Child,23
78227,Aggravated Robbery Individual,19
78227,Burglary Habitation,18
78227,Burglary Vehicle,18
78227,Robbery Business,15
78227,Aggravated Robbery Business,13
78227,Injury to Elderly Person,13
78227,Protective Order Violation,12
78227,Robbery Individual,9
78227,Indecent Exposure,7
78227,Burglary Building,5
78227,Graffiti,5
78227,Sexual Assault,5
78227,Indecency with a Child,4
78227,Kidnapping,4
78227,VICE Violation,4
78227,Murder,3
78227,Intoxication Assault,2
78227,Aggravated Sexual Assault,1
78227,Arson,1
78227,Indecency/Obscenity,1
78227,Manslaughter,1
78228,Drug Arrest,1727
78228,Larceny,1158
78228,Family Violence,422
78228,TABC-Liquor Law Violation,383
78228,Obstruction of Justice,382
78228,Weapon Violation,183
78228,Traffic Violation,158
78228,Fraud,93
78228,Trespassing,93
78228,Panhandling,69
78228,Assault,67
78228,Aggravated Assault,60
78228,Vandalism,53
